slant,[名]傾斜
segregation,[名]隔離、人種隔離
seizure,[名]捕らえること、発作
semiconductor,[名]半導体
sensory,[形]感覚の
separable,[形]分離できる
sequel,[名]続編
setback,[名]後退、挫折
severity,[名]厳しさ
sewer,[名]下水道
shaped,[形]形の
sherbet,[名]シャーベット
sheriff,[名]保安官
shipbuilding,[名]造船
shoelace,[名]靴紐
shoplift,[動]万引きする
shopper,[名]買い物客
showroom,[名]ショールーム
showy,[形]目立つ、派手な
shun,[動]避ける
sibling,[名]兄弟姉妹
sickly,[形]吐き気を催すような
