finery,[名]華美な装飾
fir,[名] モミ 
fission,[名]分裂、分体、核分裂
fissure,[名]裂け目、割れ目
fitful,[形]断続的な
flabby,[形]たるんだ
flail,[名]麦打ち用からざお
fleece,[名]羊毛
flinch,[名]しりごみ
flippant,[形]軽薄な
flit,[名]引っ越し
flora,[名]植物相
fluctuate,[動]変動する、上下する
fluff,[名]綿毛
fluffy,[形]ふわふわした
fluoride,[名]フッ化物
foliage,[名]葉
foolhardy,[形]むこうみずな
foolproof,[形]絶対確実な
forage,[名]飼料
foreclose,[動]除外する
forfeit,[名]罰として失うもの、罰金
forgery,[名]偽造
forte,[名]得意なもの
fortitude,[名]堅忍，不屈の精神
foundry,[名]鋳造所
foyer,[名]玄関の広間
friar,[名]托鉢修道士
frock,[名]フロックコート
froth,[名]泡、内容のないもの
frugality,[名]倹約
fudge,[名]でたらめ
functionary,[名]職員
furlough,[名]休暇
furtive,[形]コソコソする
fuselage,[名]胴体
fussy,[形]小うるさい
futility,[名]むだ
galley,[名]ガレー船
garish,[形]けばけばしい
garnish,[名]付け合わせ
gaunt,[形]げっそりとやせた
gentile,[名]異邦人
genus,[名]属
germinate,[動]発芽する
gill,[名]えら
gilt,[名]金箔、金色
gird,[動]締める
glacial,[形]氷のように
glint,[名]きらめき
glucose,[名]ブドウ糖、グルコース
glutton,[名]大食家、凝り屋
goblin,[名]伝説上の鬼
gradient,[名]勾配、斜面
graphite,[名]石墨
grate,[名]火床
gratuitous,[形]心からの、無料の
gratuity,[名]チップ
groin,[名]鼠径(そけい)部
grubby,[形]汚れた
gullible,[形]だまされやすい
gully,[名]小峡谷
gurgle,[名]ゴボゴボ流れる音
gusto,[名]嗜好、心からの楽しみ
hackneyed,[形]ありふれた
haggard,[名]野生のタカ
hangar,[名]飛行機の格納庫
haphazard,[名]偶然
hark,[動]聴く
harrow,[名]まぐわ
hatchet,[名]手斧
hearsay,[名]噂
hedgehog,[名]ハリネズミ
hedonism,[名]快楽主義
hem,[名]へり
hemorrhage,[名]大出血
heretic,[名]異教徒
hermit,[名]世捨人
hiccup,[名]しゃっくり
hoarse,[形]しわがれ声の
hoist,[名]引き上げ
homogeneous,[形]同種の、同質の
humdrum,[形]単調な
husk,[名]殻、トウモロコシの皮
hypnosis,[名]催眠、催眠状態
ignoble,[形]下劣な、下品な
illustrious,[形]著名な
imbue,[動]浸透させる
immaculate,[形]完璧な、無傷の
immaterial,[形]関連のない
immemorial,[形]太古からの
immunize,[動]免疫性を与える
impassive,[形]無感動の
impel,[動]促す、強いて…させる
impersonate,[動]まねをする
impertinent,[形]無礼な
impervious,[形]影響されない、動じない
impetuous,[形]衝動的な
impinge,[動]侵害する、衝突する
impudent,[形]厚かましい
inadvertent,[形]不注意の
incandescent,[形]白熱光を発する
inception,[名]開始、発端
incinerator,[名]焼却炉
incongruity,[名]不一致
incongruous,[形]不調和の、釣り合わない
incredulous,[形]容易に信じない
incursion,[名]侵入、侵略
indemnity,[名]保護、免責、賠償金
indolent,[形]怠惰な
induction,[名]誘導
ineligible,[名]不適格者
inert,[形]不活性な
infallible,[名]絶対確実な人
infatuation,[名]夢中
infirm,[形]弱い
infirmity,[名]弱いこと
infringe,[動]侵害する
iniquity,[名]不正
inlaid,[形]はめ込まれた、象眼の
inlet,[名]入り江
innuendo,[名]当てこすり、注釈句
inquisitive,[形]詮索好きな
inscribe,[動]記す、彫る、記名する
inscrutable,[形]不可解な
insecticide,[名]殺虫剤
insipid,[形]味気ない
insolent,[名]横柄な人
insomnia,[名]不眠症
instigate,[動]けしかける、開始する
insular,[形]島国根性の
insulation,[名]断熱材
insurmountable,[形]乗り越えられない
intangible,[形]触れることのできない
interdisciplinary,[形]学際的な
interlock,[名]連結
interlude,[名]【楽】 間奏曲
interminable,[形]果てしない、長たらしい
intoxication,[名]（酒に）酔うこと
introspection,[名]自己反省
iris,[名]虹彩
irksome,[形]うんざりする
irredeemable,[名]買い戻しのできない
irrevocable,[形]取り消し不能の
itinerant,[形]巡回する
itinerary,[名]旅行計画. 
javelin,[名]投げ槍、槍投げ
jeer,[名]あざけり
jostle,[名]押し合い
jovial,[形]陽気な
jubilee,[名]記念祭
judicious,[形]賢明な
jut,[名]突起
juxtaposition,[名]並列、並置
keel,[名]キール
kerosene,[名]灯油
keynote,[名]主音、要旨、基調
kickback,[名]口きき料
kiln,[名]窯
kindred,[名]親族
